Rho,Lambda,Alpha,SimulationTime,PacketLength,TransmissionRate,BufferExist,BufferSize,AvgNumberPackets,AvgSoujournTime,IdleProb,LossProb
0.5,41.6667,125,10000,12000,1e+006,true,5,0.905383,0.0220202,0.507546,0.0161162
0.6,50,150,10000,12000,1e+006,true,5,1.20413,0.0249031,0.418805,0.032116
0.7,58.3333,175,10000,12000,1e+006,true,5,1.53464,0.0278796,0.339179,0.056705
0.8,66.6667,200,10000,12000,1e+006,true,5,1.86462,0.0306295,0.271062,0.0884562
0.9,75,225,10000,12000,1e+006,true,5,2.2028,0.0335732,0.212412,0.126191
1,83.3333,250,10000,12000,1e+006,true,5,2.50405,0.0360178,0.165837,0.166397
1.1,91.6667,275,10000,12000,1e+006,true,5,2.77986,0.0383213,0.129664,0.209023
1.2,100,300,10000,12000,1e+006,true,5,3.02194,0.0403552,0.100692,0.251317
1.3,108.333,325,10000,12000,1e+006,true,5,3.23115,0.0420755,0.078428,0.291062
1.4,116.667,350,10000,12000,1e+006,true,5,3.41837,0.0437138,0.0612311,0.329578
1.5,125,375,10000,12000,1e+006,true,5,3.58093,0.045093,0.0480638,0.365565
